video_url,transcript_summary,misinfo_label,misinfo_reason,treatment_mentioned,is_aad_approved
https://www.tiktok.com/@dermguru/video/7583741338911313183,"# Summary

The creator recommends mixing equal parts of 0.25% Dakin solution (a hypochlorous acid disinfectant similar to what white blood cells produce) with niacinamide to create a DIY treatment that reduces inflammation, kills acne-causing bacteria, and reduces redness and blotchiness in irritated, inflamed skin.",no,Recommends AAD-approved treatment only,niacinamide,yes
https://www.tiktok.com/@philsmypharmacist/video/7208411005003615534,"# Summary

A dermatology hack for treating hard-to-reach body acne is using a spray product like Clear Genius Body Acne Spray, which contains 2% salicylic acid to fight breakouts without over-drying skin—offering a more convenient alternative to manually applying products with a spatula.",no,Recommends AAD-approved treatment only,salicylic acid,yes
https://www.tiktok.com/@shannon.bruno/video/6810807365688954118,"# Summary

For severe cystic acne, a dermatologist recommends using warm black tea compresses 3-5 times daily followed by sulfur spot treatment twice daily at home, while avoiding popping cysts since they're deeper than they appear and won't resolve properly. Professional injections are often necessary for larger cysts, as at-home remedies have limited effectiveness for this type of acne.",no,Recommends AAD-approved treatment only,sulfur,yes
https://www.tiktok.com/@mattrandon/video/7607157449405025558,"# Summary

The creator shares her evening acne skincare routine, emphasizing avoiding comedogenic makeup, using gentle cleansers and non-comedogenic moisturizers, and incorporating prescription tretinoin (vitamin A derivative) applied sparingly every three nights to effectively treat acne while minimizing irritation.",no,Recommends AAD-approved treatment only,"gentle cleanser, tretinoin, non-comedogenic moisturizer",yes
https://www.tiktok.com/@dr.zionko/video/7329944570102287658,"# Summary

To treat cystic acne, the video recommends a three-step approach: cleanse with benzoyl peroxide, apply a retinoid gel at night, and most importantly, consult a doctor for oral medication—either antibiotics for mild cases or Isotretinoin (Accutane) for severe or persistent cystic acne.",no,Recommends AAD-approved treatment only,"tretinoin, isotretinoin, accutane",yes
https://www.tiktok.com/@drcharlesmd1/video/7362220936671694126,"# Summary

A dermatologist warns against squeezing deep, inflamed chin pimples at home, as it can push bacteria deeper, worsen inflammation, and increase scarring and infection risk. Instead, these lesions require professional treatment like prescription antibiotics or steroid injections, and rapidly enlarging spots may indicate bacterial infections like MRSA rather than typical acne.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@drspf/video/7586410305895271710,"# Summary

The video recommends a 5-step method to safely treat deep cystic acne without scarring: use a warm compress, apply microdots with salicylic acid, use a hydrocolloid patch to absorb fluid, and finish with Centella to reduce redness. This approach is presented as a safer alternative to squeezing blind pimples.",no,Recommends AAD-approved treatment only,salicylic acid,yes
https://www.tiktok.com/@philsmypharmacist/video/7341200689311337758,"# Summary

A dermatologist advises that people with cystic acne should see a dermatologist for professional treatment, as they can provide appropriate medications, drainage if necessary, and help prevent scarring.",no,Recommends professional dermatological care,none,na
https://www.tiktok.com/@dermdoctor/video/6959013176159522054,"# Summary

The creator credits two products—specifically highlighting a skincare spray used after workouts—with dramatically clearing their lifelong cystic acne, emphasizing that the brand's genuine care for acne-prone skin combined with consistent use transformed their complexion in ways nothing else had.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@dermdoctor/video/6996072448538053893,"# Summary

The creator shares that while Accutane initially cleared their severe cystic acne, it has returned a year later—but this time they're taking a calmer, more intentional approach to treatment by avoiding picking and using tools like pimple patches, rather than panicking like they did before.",no,Recommends AAD-approved treatment only,accutane,yes
https://www.tiktok.com/@skinbydrazi/video/6887738516462161158,"# Summary

The creator claims that a $10 PanOxyl face wash with 10% benzoyl peroxide significantly improved their severe acne after traditional treatments failed, emphasizing that the key is letting it sit on the skin to foam up and activate properly. They show before-and-after photos taken over a year apart to demonstrate their clearer skin results.",no,Recommends AAD-approved treatment only,benzoyl peroxide,yes
https://www.tiktok.com/@dr.zionko/video/7325144841250409774,"# Summary

The creator explains that what might look like problematic skin to others is actually a significant improvement for them, emphasizing that progress in acne management is relative to one's personal baseline rather than achieving completely clear skin.",no,Progress/transformation content without treatment claim,none,na
https://www.tiktok.com/@drvanitarattan/video/7454260752724086049,"I can't summarize this as skincare advice because the transcript you provided appears to be poetic or reflective dialogue about a relationship, not skincare content. There's no acne or skincare guidance in this text. Could you share the correct transcript?",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@dr_ingky/video/7624470426382503184,This doesn't appear to be a skincare or acne-related TikTok transcript—it's actually song lyrics expressing romantic feelings for someone. There's no skincare advice or claims in this text.,not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@drjennyliu/video/7619111199006854413,"# Summary

This video recommends a budget-friendly acne routine (under $50) using a gentle salicylic acid cleanser paired with adapalene at night and benzoyl peroxide in the morning, finishing with moisturizer and SPF. The creator emphasizes that Eucerin is an underrated brand for this routine.",no,Recommends AAD-approved treatment only,"salicylic acid, adapalene, benzoyl peroxide",yes
https://www.tiktok.com/@thesecondthoughtofficial/video/7614604086347910414,"# Summary

A dermatologist-approved nighttime acne routine involves using a gentle cleanser, a pea-sized amount of Differin Gel (an effective over-the-counter retinoid), and a niacinamide-containing moisturizer, starting with Differin 2-3 times weekly and gradually increasing frequency. This simple three-step routine treats and prevents acne while minimizing irritation.",no,Recommends AAD-approved treatment only,"gentle cleanser, niacinamide, differin",yes
https://www.tiktok.com/@drabby6/video/7510369731862351134,"# Summary

The video recommends adapalene, a retinoid now available over-the-counter from La Roche-Posay, as the best OTC acne treatment because it increases cell turnover to improve blackheads, whiteheads, and blemishes—with results visible after two to three months of nightly use with moisturizer.",no,Recommends AAD-approved treatment only,adapalene,yes
https://www.tiktok.com/@neecoleslife/video/7581562931482021134,"# Summary

The video recommends three over-the-counter acne ingredients—salicylic acid, benzoyl peroxide, and adapalene—each offering different benefits like reducing inflammation, eliminating bacteria, and increasing cell turnover, all of which can be found in La Roche-Posay's Effaclar product line.",no,Recommends AAD-approved treatment only,"salicylic acid, adapalene, benzoyl peroxide",yes
https://www.tiktok.com/@glowjournalmamata/video/7619232872561446164,"# Summary

The video presents three dermatologist-recommended treatments for hormonal acne: combination oral contraceptives (birth control with estrogen and progestin), spironolactone (an androgen blocker), and Winlevi/clascoterone (a topical androgen blocker). All three work by reducing hormone-causing androgens that trigger cystic breakouts around the chin and jawline before menstruation.",no,Recommends AAD-approved treatment only,"clascoterone, oral contraceptive, winlevi",yes
https://www.tiktok.com/@alexisdimaya/video/7261721950739844398,"I don't see a transcript provided in your message. Could you please share the TikTok video transcript you'd like me to summarize? Once you provide the text, I'll be happy to condense it into 1-2 sentences focusing on the main skincare advice or claim.",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@haleykonopka_/video/7623592281366351117,"# Summary

The creator claims that body acne on the chest and back is caused by using ineffective body washes, and recommends switching to one containing skincare ingredients like salicylic acid and niacinamide to treat and prevent breakouts. They specifically promote a gentler, affordable body wash ($20) available on TikTok Shop that can be used daily without stripping the skin.",no,Recommends AAD-approved treatment only,"salicylic acid, niacinamide",yes
https://www.tiktok.com/@elizacesle/video/7625330975534337302,"I don't have a skincare video transcript to summarize. The text you provided (""Ela gosta de pegada bruta"" - which translates to ""She likes rough handling"" in Portuguese) appears to be an unrelated phrase rather than skincare advice.

Could you please share the actual TikTok video transcript about acne/skincare that you'd like me to summarize?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@lifewithmils/video/7415674523313392912,"# Summary

The creator humorously suggests their acne breakout and dull hair indicate they're experiencing the same skin and hair issues as average people, implying they're usually above these problems.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@noracummins_/video/7607515983305067789,"I can't summarize this as a TikTok acne/skincare video because the transcript isn't about skincare at all. It's in Czech and appears to be a story or anecdote about someone named Pulpo becoming paralyzed, unrelated to acne or skincare advice.",not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@lukekoumakis/video/7451488097516260625,I can't summarize skincare or acne advice from this transcript because it doesn't actually contain any skincare tips or claims—it's just someone reacting excitedly to navigating through a tight space in what appears to be a game or obstacle course.,partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@stylishyessy__/video/7533473456994733343,"I'd be happy to help summarize a TikTok skincare video, but I don't see a transcript provided in your message. Could you please share the actual video transcript you'd like me to summarize? Once you do, I'll give you a 1-2 sentence summary of the main advice or claim.",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@wellfromscratch/video/7571164978162584854,"# Summary

A dermatologist recommends an over-the-counter acne routine featuring CeraVe's benzoyl peroxide cleanser in the morning, Elta MD sunscreen with niacinamide, a gentle cleanser at night, Differin Gel (a retinoid) as the core treatment, and Neutrogena Hydro Boost moisturizer. The key claim is that this combination of products—particularly the prescription-strength Differin Gel—provides an effective acne treatment regimen available without a doctor's",no,Recommends AAD-approved treatment only,"gentle cleanser, niacinamide, sunscreen",yes
https://www.tiktok.com/@dermdoctor/video/6986302041937153286,"# Summary

The video recommends specific skincare treatments for different acne types: 4% benzoyl peroxide wash for inflamed pimples, BHA exfoliant plus pimple patches for blackheads/whiteheads, benzoyl peroxide with sulfur for cystic acne, and a gel cream moisturizer for acne-prone dry skin. The main claim is that tailoring treatment to your specific acne type—rather than using a one-size-fits-all approach—effectively eliminates each acne concern.",no,Recommends AAD-approved treatment only,"sulfur, benzoyl peroxide",yes
https://www.tiktok.com/@dermangelo/video/7615236798981082399,"# Summary

Using the wrong sunscreen—particularly heavy, oil-based formulas—can worsen breakouts in oily, blemish-prone skin; instead, opt for lightweight, oil-free, gel-based sunscreens with ingredients like niacinamide that won't clog pores and will help regulate oil production. Finding a sunscreen suited to your skin type is crucial since UV exposure can also darken acne scars.",no,Recommends AAD-approved treatment only,"niacinamide, sunscreen",yes
https://www.tiktok.com/@dermdoctor/video/7268790770998742318,"# Summary

This video provides budget-friendly acne remedies including washing pillowcases weekly, using tea bags on pimples to reduce inflammation, avoiding picking at acne, and optionally using a hypochlorous acid spray to kill bacteria. The core message is that clear skin doesn't require expensive products—many effective solutions are free or low-cost.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@dermdoctor/video/7133015759936163114,"# Summary

The creator shares their top 5 acne-fighting serums for 2025, highlighting products with beneficial ingredients like azelaic acid, centella asiatica, and beta glucan that are effective for treating active breakouts, hyperpigmentation, and fungal acne while maintaining skin barrier health.",no,Recommends AAD-approved treatment only,azelaic acid,yes
https://www.tiktok.com/@dermdoctor/video/6971213304869997830,"# Summary

Dr. Azadeh Shirazi explains that acne scar treatment depends entirely on the scar type—atrophic scars (sunken) respond to TCA cross, boxcar scars benefit from subcision plus laser resurfacing, and raised scars are treated with medicated injections. The key takeaway is identifying your specific scar type before pursuing treatment to avoid wasting time and money on ineffective procedures.",not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@dermarkologist/video/7457913278891642143,"# Summary

Azelaic acid is an underrated ingredient highly effective for treating acne and post-acne marks, with the Anua product being particularly recommended because it's solubilized (non-gritty), hydrating, and easy to incorporate into a simple skincare routine (cleanser → azelaic acid → moisturizer → sunscreen). It can be used once or twice daily and works well with other ingredients.",no,Recommends AAD-approved treatment only,"azelaic acid, sunscreen",yes
https://www.tiktok.com/@some.cool.audios/video/7103133232077507846,"# Summary

The creator undergoes multiple professional acne scar treatments in one session—including TCA Cross, Halo laser, fractional CO2 laser, and PRP with stem cells—to fill in scars and reveal smoother skin through controlled damage and healing. These combination treatments are designed to work synergistically for faster and more effective scar reduction.",not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@_n3a4k0/video/7232029094018321691,"# Summary

Azelaic acid is a versatile skincare ingredient that combats acne, reduces redness, and minimizes post-acne marks by stopping bacterial growth, reducing pigmentation, and decreasing inflammation—making it suitable even for sensitive skin and pregnancy. The Inua Azelaic Acid Serum (10% concentration) is recommended as an effective, non-irritating product that should be applied after cleansing followed by sunscreen in the morning or moisturizer at night.",no,Recommends AAD-approved treatment only,"azelaic acid, sunscreen",yes
https://www.tiktok.com/@cour10y_2.0/video/7605060103909166366,"I appreciate you sharing this, but I'm unable to provide an accurate summary. The text appears to be in Punjabi, but it doesn't contain coherent skincare or acne advice—it reads more like fragmented or jumbled words rather than clear instructions or claims about skincare.

If you have a clearer transcript or a different video, I'd be happy to help summarize it!",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@ur6moms9fav/video/7585824701700672782,"# Summary

The video provides practical acne scar prevention and treatment advice, emphasizing that avoiding picking/popping pimples, maintaining a daily cleansing routine, and using ice on the face are key steps to reduce acne scars. The creator claims these methods, combined with recommended products, can effectively remove acne scars without unnecessary complexity.",not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@n3rdenthusiast/video/7605649781481934100,"# Summary

The video explains that acne scars result from post-inflammatory hyperpigmentation (excess melanin production from inflammation) and can be treated with a cream containing three key ingredient types: brightening agents that inhibit tyrosinase (the enzyme responsible for melanin production), barrier repair ingredients like ceramides and panthenol, and soothing ingredients that reduce inflammation—which together work to minimize dark spots as skin renews itself over time.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@stinkyschu/video/7570154829876710686,"# Summary

A cannula treatment cuts through fibrous bands that hold acne scars in place and delivers a collagen-boosting solution to help the skin lift and smooth over time.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@weybend_/video/7130234512881077510,I'm unable to summarize this transcript as it doesn't contain any skincare or acne-related advice. The text appears to be song lyrics or unrelated content rather than a TikTok skincare video.,not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@limitless_customs/video/7186759690078915845,"I don't have a TikTok video transcript to summarize. The text you provided appears to be a short quote (""Maybe I was just crazy. Maybe it was the 60s."") that doesn't contain any acne or skincare advice or claims.

Could you please share the actual video transcript you'd like me to summarize?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@biggieonvr/video/7576385993310293303,"I don't have enough context from this transcript to provide an accurate summary. The phrase ""And if you knew me, she'd take it"" doesn't appear to contain clear skincare or acne advice. Could you provide the full transcript or more context from the video?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@drdustinportela/video/7417144911150976287,"I don't see a skincare or acne-related transcript in your message. The text ""Swept away, I'm stoned"" doesn't appear to be from an acne/skincare TikTok video. Could you please provide the actual video transcript you'd like me to summarize?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@drmadalyn/video/7623187336569933087,"# Summary

The video recommends five skincare practices to improve bumpy skin texture, with double cleansing being highlighted as the most important step—specifically using an oil cleanser followed by a water-based cleanser for 45 seconds to a minute each to prevent clogged pores. The creator claims this routine significantly improved their own texture-prone skin.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@drderrickphillips/video/7626421596399570178,This transcript doesn't appear to be about acne or skincare at all—it's poetic/lyrical content about emotional urgency and self-expression. There may be an error in the source material provided.,partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@sunnyfromsunnybread/video/7586168522749857032,"# Summary

A 35-year-old dermatologist credits three key products for her improved skin: retinoids (for bumps and fine lines), exfoliating acids (for smoothness and unclogged pores), and tinted sunscreen (especially for preventing hyperpigmentation and dark spots). She emphasizes that these simple steps have kept her skin glowing without makeup for over a decade.",no,Recommends AAD-approved treatment only,sunscreen,yes
https://www.tiktok.com/@milkydew/video/7625136231214517535,"I don't have enough context from this transcript to summarize skincare or acne advice. The line you've shared (""When everything feels like movies, yeah, you bleed just to know it"") appears to be song lyrics or poetic dialogue rather than actual skincare guidance. 

Could you provide the full transcript or clarify what skincare/acne advice was discussed in the video?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@skinbydrazi/video/7614644445945941279,"I don't have a transcript to summarize. Your message only contains ""Tick-tock, tick-tock, tick-tock. Breakdown."" which appears to be a reference to the TikTok sound effect rather than the actual video content about acne/skincare.

Could you please share the full transcript of the skincare video you'd like me to summarize?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@dermdoctor/video/7522633694339730719,"I don't have enough content to summarize. The transcript only contains a closing line (""We'll see you next time"") without any skincare or acne advice. Could you share the full transcript?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@jasonemermd/video/7435076499574656298,"# Summary

The speaker shares their decades-long loyalty to Olay skincare products, highlighting how the brand's moisturizers and Regenerist Retinol line have provided effective hydration, anti-aging benefits, and firming results across different life stages. They emphasize that Olay products address specific skin concerns while being compatible with other treatments like retinoids.",no,Recommends AAD-approved treatment only,retinol,yes
https://www.tiktok.com/@dr.ljmaxfield/video/7613511451084393759,"I don't see a skincare or acne-related transcript in your message. The text you've provided appears to be a romantic or emotional quote, not a skincare video. Could you please share the actual skincare/acne video transcript you'd like summarized?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@dermdoctor/video/6842814590766566662,"# Summary

For acne-prone and oily skin, use a cleanser with salicylic acid or benzoyl peroxide (letting it sit 1-2 minutes), followed by a gel-based moisturizer and sunscreen in the morning, then double cleanse at night with an oil-based cleanser followed by a water-based cleanser. The key advice is that moisturizing is essential even for oily skin, and you can simplify your routine by using a moisturizer with built-in SPF.",no,Recommends AAD-approved treatment only,"salicylic acid, sunscreen, benzoyl peroxide",yes
https://www.tiktok.com/@sunnyfromsunnybread/video/7581408300986633479,"I don't see a skincare or acne-related transcript in your message. The text you provided appears to be song lyrics (from ""2 Million"" by Sample Text). Could you please share the actual skincare video transcript you'd like me to summarize?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@sunnyfromsunnybread/video/7625364171135225106,"# Summary

A board-certified dermatologist advises teenagers with mild acne to use a foaming cleanser, moisturizer with SPF and niacinamide, and most importantly, a retinoid like adapalene 0.1% (available over-the-counter), while emphasizing that vitamin C doesn't help acne and that worsening or scarring acne requires professional treatment.",no,Recommends AAD-approved treatment only,"niacinamide, adapalene",yes
https://www.tiktok.com/@haskell000/video/7311493895123209515,"# Summary

A dermatologist recommends a two-step skincare routine for acne-prone skin: mornings should include benzoyl peroxide cleanser, toner, acne treatment, moisturizer, and sunscreen, while evenings should feature micellar water, foaming cleanser, retinoid, niacinamide, and moisturizer. The routine emphasizes using targeted acne treatments (benzoyl peroxide and retinoids) combined with supportive products like niacinamide and consistent sun protection.",no,Recommends AAD-approved treatment only,"niacinamide, sunscreen, benzoyl peroxide",yes
https://www.tiktok.com/@ak_pilled/video/7616553581495291150,"# Summary

The video emphasizes that teenage acne skincare should focus on the non-negotiable foundation of a gentle cleanser, moisturizer with SPF 30, and sunscreen, while recommending specific budget-friendly brands like Vanicream and Bubble—and stressing that teenagers should skip expensive serums and instead avoid picking at acne using hydrocolloid patches to prevent scarring. Evening salicylic acid cleansers can help unclog pores after activities like sports or school.",no,Recommends AAD-approved treatment only,"salicylic acid, gentle cleanser, sunscreen",yes
https://www.tiktok.com/@remedy.ph/video/7627360962126843157,I can't summarize this as skincare advice because the transcript you provided appears to be song lyrics rather than a skincare/acne video. It doesn't contain any skincare tips or claims. Could you provide the correct transcript?,not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@rubygrifiths/video/7614462425462557974,"# Summary

The creator shares her nighttime skincare routine focused on treating post-acne marks and texture, emphasizing that a consistent routine with micellar water cleansing and quality products has improved her skin enough to receive compliments despite her own insecurities about it. The main takeaway is that consistent skincare habits and not being overly critical of yourself can lead to noticeable skin improvements.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@sjtraub/video/7592694991835761951,"# Summary

A dermatologist explains that hormonal acne clusters along the jawline and can be treated with spironolactone, a medication with anti-hormonal properties, while also recommending basic acne care and noting that spearmint or green tea may provide some additional benefit.",no,Recommends AAD-approved treatment only,spironolactone,yes
https://www.tiktok.com/@literary.mk/video/7574152277133364510,"# Summary

Adult hormonal acne is caused by fluctuating androgens (like testosterone) and typically appears around the jaw and chin, with common triggers being menstrual cycles, birth control changes, or perimenopause. While topical treatments help, addressing the underlying hormonal causes through birth control adjustments, medications like spironolactone, or stress management may be necessary for effective treatment.",no,Recommends AAD-approved treatment only,spironolactone,yes
https://www.tiktok.com/@officiallyval/video/7613407411696815381,"# Summary

The creator discovered topical spironolactone as a solution for hormonal acne, which can be applied directly to the skin rather than taken orally, and claims it's a ""best kept secret"" that effectively addresses breakouts that other treatments like tretinoin couldn't completely eliminate.",no,Recommends AAD-approved treatment only,"tretinoin, spironolactone",yes
https://www.tiktok.com/@brownskinjay3/video/7510594194528800022,"# Summary

The video explains that hormonal acne results from imbalanced estrogen types—specifically too much E2 (estradiol) rather than E3 (estriol), which is why pregnant people often have glowing skin. The creator recommends supplements like DIMM and methylated folic acid to help convert excess E2 into the beneficial E3 form, particularly for people with MTHFR mutations who struggle with estrogen methylation.",no,Progress/transformation content without treatment claim,none,na
https://www.tiktok.com/@glambyval/video/7591523952313371926,"# Summary

A licensed OB/GYN recommends a traditional Chinese medicine tea blend made with spearmint, chrysanthemum, goji berries, and optional black tea as a natural alternative to treat hormonal acne without prescription medications. The spearmint is highlighted as the key ingredient for hormonal balance, while using loose leaves instead of tea bags to avoid microplastics, which can disrupt hormones.",yes,Promotes non-AAD treatment: traditional chinese medicine,traditional chinese medicine,no
https://www.tiktok.com/@natalie_oneillll/video/7200438301700984070,"# Summary

A board-certified dermatologist recommends inexpensive sulfur acne treatments as an effective solution for hormonal and oily skin acne, highlighting its four key benefits: antimicrobial properties to kill acne-causing bacteria, gentle exfoliation to remove blackheads and whiteheads, sebum regulation for oily skin, and anti-inflammatory effects to reduce redness.",no,Recommends AAD-approved treatment only,sulfur,yes
https://www.tiktok.com/@abbeyyung/video/7140002875110985002,"# Summary

The creator achieved acne-free skin after months of struggling with hormonal acne by using spironolactone (5mg), topical tretinoin at night, and other prescribed treatments recommended by their dermatologist, combined with a consistent skincare routine. They emphasize that after trying countless products and home remedies, prescription medications were the solution that finally worked.",no,Recommends AAD-approved treatment only,"tretinoin, spironolactone",yes
https://www.tiktok.com/@dermatologysurgeon/video/7408182158784826667,"# Summary

Instead of using drying acne products like salicylic acid, this dermatology PA recommends hormone-targeting treatments for hormonal acne, including oral spironolactone, topical spironolactone, Winlevi, or Accutane—with Accutane being the most effective option for long-term remission by shrinking oil glands. The key advice is to address the root hormonal cause rather than just drying out the skin.",no,Recommends AAD-approved treatment only,"salicylic acid, accutane, winlevi",yes
https://www.tiktok.com/@oliviabrooks_skincare/video/7620126200849059104,"I don't have a transcript to summarize. The text you provided (""Spilling all my summer"") appears to be incomplete or just a title. 

Could you please share the full transcript of the TikTok video so I can summarize the skincare advice or claims made?",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@_laviniamartin/video/7578935224030072086,"# Summary

I'm unable to provide a summary as the transcript provided appears to be song lyrics rather than skincare/acne advice content. There's no skincare or acne-related information in the text you've shared.

If you have an actual skincare video transcript you'd like summarized, please feel free to share that instead!",not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@_laviniamartin/video/7628288365200182550,"# Summary

This transcript snippet doesn't contain skincare or acne advice—it appears to be behind-the-scenes footage where someone is directing another person named Owen during video recording, mentioning applying something lightly over a beard.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@ofeemi7/video/7581857773185535254,"I'm unable to provide a meaningful summary of this transcript because the text appears to be garbled or transcribed incorrectly. The words don't form coherent sentences related to acne or skincare advice.

Could you please:
1. Re-check the transcript for accuracy
2. Provide the correct/full transcript

This will help me give you an accurate 1-2 sentence summary of the skincare advice.",not_acne_content,Transcript summary failed — insufficient content,none,na
https://www.tiktok.com/@mavriqisaranda/video/7603817636002057479,"# Summary

Apply foundation to the center of your face for maximum coverage, then blend outward using patting motions (rather than swiping) and extend down to your neck for a seamless skin-like finish.",partial,Discusses acne but no specific verifiable treatment claim found,none,na
https://www.tiktok.com/@_laviniamartin/video/7607906738511318295,This doesn't appear to be a skincare/acne video transcript—it looks like song lyrics instead. Could you provide the correct TikTok skincare video transcript you'd like summarized?,not_acne_content,Video not related to acne treatment,none,na
https://www.tiktok.com/@tam_france92/video/7567805516106239254,"I don't have a transcript to summarize. Could you please share the TikTok video transcript about acne/skincare? Once you provide the text, I'll be happy to summarize the main advice or claim in 1-2 sentences.",not_acne_content,Transcript summary failed — insufficient content,none,na
